text,category
disable alarm for three pm,alarm_remove
remove set alarm,alarm_remove
remove the alarm set for ten pm,alarm_remove
remove all alarm of sunday,alarm_remove
do not wake me up tomorrow,alarm_remove
please remove the alarm set for wednesday called kickball,alarm_remove
forget alarm,alarm_remove
set off this alarm,alarm_remove
turn off my alarm,alarm_remove
cancel all alarms,alarm_remove
remove all alarms set today,alarm_remove
two am removed,alarm_remove
take away my alarm for tomorrow at four thirty am,alarm_remove
turn off any morning alarms after Friday,alarm_remove
please remove any alarms that i have set,alarm_remove
remove my wake up alarm,alarm_remove
change my alarm,alarm_remove
please turn off my alarm for this evening,alarm_remove
turn off the alarm for tomorrow morning,alarm_remove
change the alarm weekly settings,alarm_remove
remove my early alarms,alarm_remove
please remove my alarm,alarm_remove
get rid of the five pm alarm,alarm_remove
disable the first alarm,alarm_remove
i would like this alarm permanently removed,alarm_remove
remove all alarms if any,alarm_remove
i no longer need the daily five pm alarm,alarm_remove
remove the alarm set for four hundred am,alarm_remove
stop seven am alarm,alarm_remove
disable my three pm alarm,alarm_remove
remove my bedtime alarm,alarm_remove
turn off all alarms,alarm_remove
remove alarms set for tomorrow,alarm_remove
olly cancel all soccer practice alarms,alarm_remove
remove my eight pm alarm and set it to seven pm,alarm_remove
remove alarm if any,alarm_remove
cancel the alarm that is set for tomorrow at eight am,alarm_remove
delete the first alarm,alarm_remove
remove alarm,alarm_remove
unset all alarm which is set,alarm_remove
can you please remove the alarm,alarm_remove
cancel alarm for tenth of march two thousand seventeen,alarm_remove
this alarm needs to be permanently silenced,alarm_remove
remove the alarm for tomorrow,alarm_remove
i dont want any alarms,alarm_remove
delete my eight pm alarm,alarm_remove
remove finlee's bedtime alarm,alarm_remove
reset alarm,alarm_remove
remove the alarm,alarm_remove
remove my morning alarm,alarm_remove
delete my alarm for eight am,alarm_remove
remove my alarm for tomorrow morning,alarm_remove
remove seven am alarm,alarm_remove
cancel the alarm at four am ten pm,alarm_remove
turn off the alarm,alarm_remove
snooze,alarm_remove
Set a alarm for the day,alarm_set
set an alarm for tomorrow at six in the morning,alarm_set
put an alarm and wake me up at six am tomorrow morning,alarm_set
set alarm at five am,alarm_set
update alarm,alarm_set
set new alarm on five am,alarm_set
please set alarm for,alarm_set
please arrange to wake me up at three am alarm,alarm_set
set the alarm for tomorrow five am,alarm_set
set an alarm for me at eight am,alarm_set
set an alarm forty minutes from now,alarm_set
set an alarm for me for tomorrow at seven pm,alarm_set
set an alarm for two pm,alarm_set
set an alarm for five minutes from now,alarm_set
set alarm for tomorrow morning at six am,alarm_set
i want an alarm for three today,alarm_set
set alarm at nine am on next sunday,alarm_set
set alarm for eight am,alarm_set
set a continuous alarm without the option to snooze for seven am please,alarm_set
please set an alarm for tomorrows meeting at seven am,alarm_set
set an alarm for eight pm,alarm_set
set my calendar for an alarm at five pm tuesday,alarm_set
turn my morning alarm on,alarm_set
tell me when it is five pm,alarm_set
two pm set,alarm_set
set alarm for six am tomorrow,alarm_set
set up an alarm clock at one pm,alarm_set
i need to get up at seven am,alarm_set
i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set
let me know when it is ten,alarm_set
set the alarm for five am,alarm_set
set alarm of every tuesday of march month morning eight am,alarm_set
wake me up at six am,alarm_set
set a new alarm for that time,alarm_set
set alarm for one hour from now,alarm_set
schedule an alarm for next weeks dentist appointment,alarm_set
alarm for ten am,alarm_set
please we're the following alarm,alarm_set
set an alarm for the dance classes two hours before the classes start,alarm_set
set my alarm for twelve pm,alarm_set
wake me up at five am,alarm_set
set the alarm tone,alarm_set
olly set my alarm to go off in an hour,alarm_set
please wake me up at eight am,alarm_set
make an alarm for four pm,alarm_set
wake me up at four am,alarm_set
fix an alarm,alarm_set
set an alarm for seven am,alarm_set
set alarm for this event reminder repeating for ten times,alarm_set
set an alert for two pm,alarm_set
i need to get up at ten tomorrow,alarm_set
get me up at eight am,alarm_set
set alarm for tomorrow at two pm,alarm_set
please set my alarm clock for eight am,alarm_set
set an alarm for next tuesdays meeting,alarm_set
set alarm at ten am,alarm_set
please create a new alarm,alarm_set
alert me at three pm to goto the concert,alarm_set
make a new alarm,alarm_set
please set a reminder alarm for three pm on Saturday,alarm_set
open clock,alarm_set
set alarm for tomorrow six am,alarm_set
set my alarm for tuesday at six pm,alarm_set
alert me at five hours,alarm_set
one am set,alarm_set
set alarm to begin,alarm_set
set the alarm for nine am on weekends,alarm_set
add an alarm for tomorrow morning at six am,alarm_set
please set an alarm at six am,alarm_set
set an alarm for tomorrow morning at eight,alarm_set
ring the alarm when i get home,alarm_set
set my alarm for time,alarm_set
set an alarm for ten o'clock tomorrow morning,alarm_set
alarm set,alarm_set
i want an alarm for six am everyday,alarm_set
add a five am alarm in place of my nine pm alarm,alarm_set
remind me at one thousand three hundred,alarm_set
alarm,alarm_set
make an alarm,alarm_set
please set alarm for all days,alarm_set
wake me up at seven am,alarm_set
is my alarm set for seven am,alarm_set
can you set an alarm for me,alarm_set
create event with alarm for meeting in two hours,alarm_set
set my alarm for six am tomorrow,alarm_set
wake me up in thirty minutes,alarm_set
schedule an alarm to wake me up after three hours,alarm_set
set an alarm,alarm_set
make an alarm for me at five am tomorrow,alarm_set
set alarm for twelve weeks from today at eight am,alarm_set
wake me up at time,alarm_set
set wake up Thursday seven am,alarm_set
please set my alarm for five pm,alarm_set
get me up in half an hour,alarm_set
wake me up at this time,alarm_set
wake me up at ten,alarm_set
set an alarm for five hundred and thirty,alarm_set
put alarm at five am,alarm_set
wake me up on Friday at five in the morning i need to catch the train,alarm_set
set an alarm for seven thirty am,alarm_set
please ring the wake up alarm at eight am next saturday,alarm_set
create an alarm for six am,alarm_set
i need an alarm set for five hundred and thirty am tomorrow,alarm_set
set a repeating reminder alarm for the facebook event i have to attend on seventh april,alarm_set
set alarm on twenty fifth may at five pm,alarm_set
please wake me up at seven thirty am,alarm_set
set an alarm for eight am,alarm_set
alarm five pm tuesday,alarm_set
wake me up at five thirty,alarm_set
set my alarm for eight am,alarm_set
set my alarm for six thirty in the morning tomorrow,alarm_set
set the time,alarm_set
i need an alarm,alarm_set
wake me up,alarm_set
i need a six am wakeup call,alarm_set
wake me up at five am this week,alarm_set
set alarm for saturday morning soccer practice at eight am,alarm_set
can you set my alarm for seven thirty am,alarm_set
set alarm at two am,alarm_set
please set the alarm for eight pm wednesday evening,alarm_set
could you please set an alarm at six am,alarm_set
set an alarm for four in the afternoon,alarm_set
set a reminder i need to wake up at five am every morning,alarm_set
please set an alarm at seven am tomorrow morning,alarm_set
create an alarm for today at ten am,alarm_set
i need you to set an alarm,alarm_set
make an alarm to help me remember,alarm_set
set an alarm for two hours from now,alarm_set
set alarm for nine am,alarm_set
set an alarm at six in the morning,alarm_set
set an alarm for two hours from now please,alarm_set
set an alarm at six am,alarm_set
place alarm at five o'clock morning,alarm_set
wake me up at five hundred and thirty,alarm_set
i want to wake up at six am tomorrow please,alarm_set
call me at six am,alarm_set
set an alarm for one hour from now,alarm_set
new alarm for six am,alarm_set
i need a reminder alarm at one,alarm_set
please set alarm at five pm,alarm_set
set an eight hundred am alarm for next tuesday,alarm_set
set alarm for reminder,alarm_set
make an alarm for three pm,alarm_set
the set alarm for nine pm on Thursday night,alarm_set
please make me wake up at four am tomorrow,alarm_set
remind me at five pm,alarm_set
turn on alarm thirty minutes before liverpool started to play,alarm_set
set an alarm for thursday at seven pm,alarm_set
alarm me at eight am,alarm_set
wake me at seven am,alarm_set
set an alarm at ten tomorrow to remind me a meeting,alarm_set
set an alarm at six am tomorrow,alarm_set
i need an alarm for sunday at eight am can you please set one for me,alarm_set
turn on my alarm,alarm_set
remind me at six thirty pm,alarm_set
add alarm,alarm_set
can you set the alarm for one hundred and thirty,alarm_set
alarm time for twelve pm,alarm_set
wake me at daybreak,alarm_set
decrease the volume,audio_volume_down
lower volume to half,audio_volume_down
could you please lower your volume,audio_volume_down
turn down the speakers,audio_volume_down
please slow down volume of speaker,audio_volume_down
start the radio now on low volume,audio_volume_down
set the volume to low,audio_volume_down
lessen the speaker volume,audio_volume_down
please speak quieter to me,audio_volume_down
can you turn that down,audio_volume_down
please reduce the sound,audio_volume_down
slow the volume speaker,audio_volume_down
you're too loud,audio_volume_down
talk quieter please,audio_volume_down
down the volume,audio_volume_down
quieter,audio_volume_down
please change the volume low of the speakers,audio_volume_down
lower volume of music player,audio_volume_down
please turn the volume down,audio_volume_down
lower volume,audio_volume_down
decrease twenty percent,audio_volume_down
it's really loud can you please turn the music down,audio_volume_down
decrease the volume to ten,audio_volume_down
turn down the sound,audio_volume_down
down,audio_volume_down
turn down the volume,audio_volume_down
please lower the speaker volume,audio_volume_down
decrease speaker volume,audio_volume_down
i want to slow down my speaker,audio_volume_down
turn down volume twenty percent,audio_volume_down
too loud,audio_volume_down
turn_down speakers,audio_volume_down
your volume is too high please repeat that lower,audio_volume_down
speak quieter,audio_volume_down
speak softer please,audio_volume_down
I need the volume to be quieter,audio_volume_down
lower the volume ten percent,audio_volume_down
make the volume lower,audio_volume_down
slow down the speaker volume,audio_volume_down
lower audio,audio_volume_down
cut down the volume,audio_volume_down
decrease volume to very soft,audio_volume_down
low the volume,audio_volume_down
lower speaker volume,audio_volume_down
turn off the bass from the audio,audio_volume_down
Please lower the volume,audio_volume_down
turn speaker volume down,audio_volume_down
please adjust the speakers to a lower more comfortable level,audio_volume_down
lower the volume on the speakers,audio_volume_down
please turn down the volume,audio_volume_down
turn the volume down,audio_volume_down
turn the volume down a little please,audio_volume_down
decrease volume,audio_volume_down
lower the speakers,audio_volume_down
lower the volume of the speakers,audio_volume_down
lower your volume please,audio_volume_down
turn down media volume,audio_volume_down
lower the volume,audio_volume_down
please decrease the volume of music player,audio_volume_down
lower the volume please,audio_volume_down
can you make it a little quieter,audio_volume_down
lower all volume on speakers please,audio_volume_down
volume down,audio_volume_down
please reduce the speaker volume,audio_volume_down
speaker volume decrease,audio_volume_down
go silent until three pm,audio_volume_mute
please do not talk for thirty minutes,audio_volume_mute
Silence speakers,audio_volume_mute
silently adjust,audio_volume_mute
turn off audio,audio_volume_mute
set to mute,audio_volume_mute
keep quiet,audio_volume_mute
please stop for a bit,audio_volume_mute
Please pause the song,audio_volume_mute
off the speakers,audio_volume_mute
be silent for thirty minutes,audio_volume_mute
can you place the sound on mute,audio_volume_mute
stop making sounds for forty minutes,audio_volume_mute
mute volume,audio_volume_mute
please be silent until i tell you not to be,audio_volume_mute
i want to mute the speaker,audio_volume_mute
silent mode,audio_volume_mute
mute yourself when i am in a meeting,audio_volume_mute
please pause yourself,audio_volume_mute
please keep quiet for the next hour,audio_volume_mute
mute the living room speakers,audio_volume_mute
down the speaker volume at the end of level,audio_volume_mute
set the speakers to mute,audio_volume_mute
please mute the volume control,audio_volume_mute
turn on silent mode until my alarm goes off,audio_volume_mute
pause the music,audio_volume_mute
silent,audio_volume_mute
go silent for a day,audio_volume_mute
mute for volume,audio_volume_mute
set mute mode for one hour,audio_volume_mute
can you mute when i am not home,audio_volume_mute
mute please,audio_volume_mute
please be quiet for another hour,audio_volume_mute
set to silent for five minutes,audio_volume_mute
silence please,audio_volume_mute
stop playing,audio_volume_mute
mute the audio,audio_volume_mute
mute the settings,audio_volume_mute
mute the volume,audio_volume_mute
please quiet the speaker,audio_volume_mute
silence for two hours,audio_volume_mute
please stop talking,audio_volume_mute
mute for two hours,audio_volume_mute
activate silent,audio_volume_mute
mute for fifteen minutes,audio_volume_mute
silence,audio_volume_mute
do not speak today,audio_volume_mute
turn off the sounds,audio_volume_mute
mute the speaker please,audio_volume_mute
help me to mute my speaker,audio_volume_mute
can you mute my speaker,audio_volume_mute
google please be extra quiet the baby is sleeping,audio_volume_mute
mute enabled until i say so,audio_volume_mute
please hold for the next hour,audio_volume_mute
disable music player,audio_volume_mute
mute the sound,audio_volume_mute
set the settings to mute,audio_volume_mute
quiet mode on until i am home from work,audio_volume_mute
turn the vibrate off from speaker,audio_volume_mute
mute sound on speakers please,audio_volume_mute
don't speak for an hour,audio_volume_mute
set music system to mute,audio_volume_mute
stay quiet,audio_volume_mute
set volume to zero,audio_volume_mute
please mute my speaker,audio_volume_mute
speakers off,audio_volume_mute
please do not speak,audio_volume_mute
quiet on,audio_volume_mute
no speaking please,audio_volume_mute
i would like to mute the speakers please,audio_volume_mute
please mute the sound,audio_volume_mute
please shut off,audio_volume_mute
from now on mute,audio_volume_mute
please unmute yourself,audio_volume_mute
mute speakers,audio_volume_mute
will you please mute my speakers,audio_volume_mute
mute speakers please,audio_volume_mute
mute sound,audio_volume_mute
quiet,audio_volume_mute
sound off,audio_volume_mute
silence for certain amount of hours,audio_volume_mute
please you don't speak in eight to ten pm,audio_volume_mute
mute,audio_volume_mute
mute all responses now,audio_volume_mute
be mute,audio_volume_mute
shut up,audio_volume_mute
don't make any sounds,audio_volume_mute
turn sound off,audio_volume_mute
silent mode on for the next three hours,audio_volume_mute
cut off noise,audio_volume_mute
touch the mute button,audio_volume_mute
get yourself muted,audio_volume_mute
be quiet,audio_volume_mute
mute yourself until five pm,audio_volume_mute
don't speak for a while,audio_volume_mute
i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute
quiet mode four hours,audio_volume_mute
turn down the noise,audio_volume_mute
please change the volume to mute,audio_volume_mute
mute for the next hour please,audio_volume_mute
please mute yourself,audio_volume_mute
hey olly mute the speakers,audio_volume_mute
mute the speakers,audio_volume_mute
goodnight,audio_volume_mute
it's quiet time,audio_volume_mute
turn off speaker,audio_volume_mute
mute yourself until i say otherwise,audio_volume_mute
mute audio,audio_volume_mute
don't talk until i ask you to,audio_volume_mute
please be quiet for the next two hours,audio_volume_mute
mute volume now,audio_volume_mute
don't respond for fifty seconds,audio_volume_mute
do not talk,audio_volume_mute
quiet time,audio_volume_mute
mute for one hour,audio_volume_mute
please be silent,audio_volume_mute
please do not respond,audio_volume_mute
volume control,audio_volume_mute
can you set radio to mute,audio_volume_mute
please mute the television for one hour,audio_volume_mute
can you please be muted for a while,audio_volume_mute
i'm in a meeting please do not speak,audio_volume_mute
turn the volume off,audio_volume_mute
sound off please,audio_volume_mute
i want you to mute,audio_volume_mute
do not make any noise until morning alarm,audio_volume_mute
mute for twenty minutes,audio_volume_mute
stop the audio,audio_volume_mute
turn up radio volume,audio_volume_up
i can't hear you speak up,audio_volume_up
Speak louder please,audio_volume_up
increase the volume please,audio_volume_up
please increase the volume of the current song,audio_volume_up
adjust media volume up,audio_volume_up
bring back talking after,audio_volume_up
unmute my sound,audio_volume_up
please increase volume in music player,audio_volume_up
raise the volume of the speakers to fifty five percent,audio_volume_up
Hey turn the volume high,audio_volume_up
hello beef up the volume a little bit,audio_volume_up
can you speak a little louder,audio_volume_up
please raise the volume of speaker,audio_volume_up
louder,audio_volume_up
i cant hear a thing,audio_volume_up
set the volume higher,audio_volume_up
i need you to have the volume louder,audio_volume_up
turn up the volume of my speakers,audio_volume_up
please unmute the settings,audio_volume_up
the volume of the music playing now should be raised,audio_volume_up
raise the volume of the speakers,audio_volume_up
turn my audio higher,audio_volume_up
can you increase the volume of the speakers,audio_volume_up
raise the volume to fifty,audio_volume_up
Volume louder softer,audio_volume_up
i need to hear the volume of the current music,audio_volume_up
please increase the volume,audio_volume_up
could you please yell the answer out to me,audio_volume_up
please speak loud,audio_volume_up
on the music player set the volume level at sixty,audio_volume_up
raise speaker volume,audio_volume_up
raise the volume of the current music,audio_volume_up
turn up volume of music,audio_volume_up
raise your volume,audio_volume_up
can you turn up the volume on itunes,audio_volume_up
louder volume please,audio_volume_up
volume louder please,audio_volume_up
turn up media volume,audio_volume_up
could you speak up,audio_volume_up
increase the volume of the speaker,audio_volume_up
make the speaker volume on maximum,audio_volume_up
i need to hear sound on my speakers,audio_volume_up
up the volume the sound is too low,audio_volume_up
audio on,audio_volume_up
speak louder,audio_volume_up
i can't hear you,audio_volume_up
turn up your volume,audio_volume_up
turn up the volume,audio_volume_up
please increase the volume to maximum,audio_volume_up
lower my music player volume by fifty percent of its current level,audio_volume_up
please turn my speakers on google,audio_volume_up
increase the volume,audio_volume_up
please turn the volume to the loudest setting,audio_volume_up
set the music volume to ninety,audio_volume_up
i need a high volume,audio_volume_up
make sound louder,audio_volume_up
up,audio_volume_up
turn the volume up,audio_volume_up
i can barely hear you,audio_volume_up
please decrease the volume of this song,audio_volume_up
speak louder please,audio_volume_up
i can't hear you can you say it again louder,audio_volume_up
i can't hear just increase the volume,audio_volume_up
please turn up the volume to twenty one,audio_volume_up
increase volume by two levels,audio_volume_up
speaker volume increase,audio_volume_up
turn the volume up on music player,audio_volume_up
can you turn up the volume,audio_volume_up
raise volume,audio_volume_up
hey sound is low can you tune it up,audio_volume_up
turn up speakers,audio_volume_up
increase the volume to seventy percent,audio_volume_up
i need the volume to be louder,audio_volume_up
increase the volume of the music to ninety,audio_volume_up
unmute the speaker now,audio_volume_up
please increase volume,audio_volume_up
could you speak more softly,audio_volume_up
i want volume on my speakers,audio_volume_up
raise the volume to sixty,audio_volume_up
unmute,audio_volume_up
increase the volume so that i can hear it in other room,audio_volume_up
turn up music please,audio_volume_up
please turn up the speaker volume,audio_volume_up
more volume please,audio_volume_up
change my music player volume to eighty percent,audio_volume_up
i couldn't hear you repeat that louder,audio_volume_up
turn up volume,audio_volume_up
turn up the volume on the music,audio_volume_up
increase the volume a bit,audio_volume_up
move the volume up a little,audio_volume_up
can you turn the volume up,audio_volume_up
please turn up the volume,audio_volume_up
play it louder,audio_volume_up
change the volume level to nineteen please,audio_volume_up
turn the sound up,audio_volume_up
i am unable to hear you can you speak little loud,audio_volume_up
turn up,audio_volume_up
change the speaker volume to sixty five percent,audio_volume_up
can you turn up your volume,audio_volume_up
increase volume,audio_volume_up
please speak up,audio_volume_up
get louder,audio_volume_up
increase the volume to fifty,audio_volume_up
increase volume by one,audio_volume_up
unmute after,audio_volume_up
could you speak louder,audio_volume_up
increase the volume of the left speaker by ten,audio_volume_up
can you turn it up a little,audio_volume_up
can you speak louder,audio_volume_up
louder please,audio_volume_up
turn up sound,audio_volume_up
i need you to say that last information again but much louder,audio_volume_up
do i have a dentist appointment on monday morning,calendar_query
do i have a meeting on saturday march twenty fifth,calendar_query
is my calendar free for Thursday,calendar_query
what important dates are there in my calendar this month,calendar_query
tell me about the meetings over a period of time,calendar_query
time time is the holiday party at the office,calendar_query
today's schedule,calendar_query
what have i got going on between three and four pm today,calendar_query
hows many more reminders are left,calendar_query
is the birthday event on fifteenth of this month true,calendar_query
tell me what is on my schedule for today,calendar_query
do i have anything planned for the twenty first,calendar_query
is my schedule full for tomorrow from eight am to two pm,calendar_query
what meetings do i have between eight ten today,calendar_query
need information about events before shift ends,calendar_query
is there any pending reminder for me,calendar_query
when and where is june's birthday party,calendar_query
what am i up to this weekend,calendar_query
meeting july calendar,calendar_query
what day is the meeting on,calendar_query
which day this week do i have plans,calendar_query
is calendar event true,calendar_query
is there any events planned for the next three months,calendar_query
tell me what is on my calendar for tomorrow,calendar_query
where is the event today,calendar_query
search schedules for this week,calendar_query
any upcoming events,calendar_query
do i have any off days this week,calendar_query
rahul marriage reminder,calendar_query
when is the next office meeting,calendar_query
is there any event today in my calendar,calendar_query
where am i supposed to be by this time tomorrow,calendar_query
what events are this week,calendar_query
i needed to prepare for a meeting,calendar_query
when is my doctor's appointment,calendar_query
events happening between eight am and five pm today,calendar_query
what is my next reminder,calendar_query
how soon is my anniversary,calendar_query
what meetings are available in march,calendar_query
what is on the agenda for the four pm meeting with joe,calendar_query
tell me what is on the schedule for july seventh,calendar_query
where is tuesday's morning meeting,calendar_query
my events,calendar_query
what's my next appointment,calendar_query
whats going on in my calendar,calendar_query
what else is on the list,calendar_query
what time does the dinner party start tonight,calendar_query
do i have a sales meeting today,calendar_query
please tell me when's my financial meeting,calendar_query
confirm that my notification is set to remind me when i leave,calendar_query
do i have a meeting today,calendar_query
shall we meet for today's party,calendar_query
let's go through all pending reminders,calendar_query
is it true that susan's birthday is on march first,calendar_query
what events are scheduled this week,calendar_query
march one is susan's birthday right,calendar_query
what on my calendar,calendar_query
is this program is scheduled,calendar_query
tell me when the hockey game tickets are for,calendar_query
tell me about my upcoming week,calendar_query
latest events,calendar_query
when is bank holiday,calendar_query
what day is this event scheduled for,calendar_query
give me the reminders,calendar_query
show me my calendar event this Friday afternoon,calendar_query
is there a chili cookoff this weekend,calendar_query
what events are scheduled for me to do today,calendar_query
what are the pending reminder for today evening,calendar_query
do i have a doctors appointment today,calendar_query
is jimmie's party on friday cancelled,calendar_query
what do i have scheduled on july seventh,calendar_query
am i busy on Wednesday evening,calendar_query
what events do i have scheduled today,calendar_query
what is on the agenda for today,calendar_query
when the meeting start,calendar_query
on my calendar are there any birthdays,calendar_query
am i free on sunday day,calendar_query
do i have any get togethers this week,calendar_query
please tell me the main points of my two hundred meeting from this afternoon,calendar_query
can you tell me the next scheduled event,calendar_query
anything interesting happening next friday,calendar_query
how many calories did i burn between three and five today,calendar_query
